x,y
26.560000000000002,1.7502927785247138
4.45,5.199638183849785
95.05,6.692583736253842
3.3200000000000003,6.2165346778907535
41.68,2.3039868597338478
23.64,1.6929218712587792
60.97,3.385206637843737
0.07,10.862376423086111
77.52,4.713356995616273
44.53,2.4379468979218752
47.43,2.582851269859531
62.43,3.4854976881941893
31.26,1.8878856148540282
40.56,2.2536062797626477
58.52,3.223364300479157
6.28,3.9817376948127112
85.45,5.523435658067674
24.810000000000002,1.71245717850955
97.43,7.018854337338752
13.35,1.9985626994241144
26.830000000000002,1.7569101973243393
45.660000000000004,2.4933665895067527
25.14,1.7188631720621568
93.53,6.492190620430669
19.07,1.684930853473612
28.02,1.7882039274199177
68.9,3.966970130231671
7.84,3.254378529072801
94.89,6.671201699786334
68.93,3.9693509583057285
41.1,2.2777375318850495
76.41,4.609873888319949
85.73,5.5544536443871575
92.01,6.297797796503656
52.410000000000004,2.8527923386013656
19.27,1.6821501597921251
62.92,3.5198195871334463
80.81,5.033925967550179
67.1,3.8267040869811697
47.57,2.5900703000736582
5.46,4.4708327321586765
30.42,1.8602794853132874
18.59,1.6931677265240888
51.25,2.7874490355743546
82.88,5.246704265733256
30.85,1.8742719745432364
23.740000000000002,1.6943827858890121
64.08,3.602426124802456
67.99,3.895426570839054
69.12,3.9844627637460093
87.7,5.7776674262291685
82.05,5.16032800703105
53.39,2.909203179350986
48.57,2.6422444830294194
98.35000000000001,7.149196723351905
46.84,2.552656711383718
43.87,2.40618654423639
19.47,1.6797321511965766
79.79,4.932274486485883
21.29,1.6723203343828776
69.06,3.9796844076893008
78.99,4.853986294427322
42.800000000000004,2.355643123971066
39.83,2.2214575831053716
53.68,2.9261112580817343
60.64,3.3629416275738877
34.53,2.004929689707469
31.05,1.8808802743028088
36.76,2.0923122152155815
65.17,3.681815356580632
64.15,3.607472637615896
30.76,1.8713187585800168
29.03,1.817204813400351
89.45,5.983466177653896
53.35,2.906878782910345
33.28,1.9585203779150986
27.42,1.772008887313126
94.03,6.557438212998644
47.75,2.599382595550191
47.45,2.583881283113363
41.72,2.305809766253604
77.08,4.672061607260144
57.39,3.151356076765806
65.21000000000001,3.6847617957915686
60.88,3.3791197568316456
68.16,3.9086931044426083
7.49,3.3973705693818994
34.84,2.016734339153522
7.99,3.1962833432163715
58.5,3.222075576720107
23.150000000000002,1.6863809334395092
5.16,4.671649731390717
50.72,2.758101388353386
24.43,1.705548260336904
95.79,6.792370568276061
89.94,6.042392395598453
15.82,1.794742788173635
4.44,5.207640923226926
37.050000000000004,2.1040842052713766
6.41,3.9115981515937506
26.61,1.7515038540981562
92.2,6.32177495169376
60.22,3.3348164204003736
71.65,4.19126009052095
9.81,2.6225400911308165
83.0,5.259311462053033
89.10000000000001,5.9417281813875595
97.4,7.0146442881055515
69.93,4.049535091653056
18.6,1.6929726597500698
35.54,2.043804406874162
92.7,6.3853098359068285
55.15,3.0133541352036177
15.99,1.7852904659748858
9.200000000000001,2.790190084165508
94.93,6.676540795997892
9.05,2.83495654732024
7.23,3.5106817300413975
88.62,5.884960531750131
55.050000000000004,3.007337047715119
28.6,1.8046042334530101
89.14,5.946483464194018
4.94,4.827051388910377
96.29,6.8606350223515
72.52,4.264825125412537
