x,y
-5.000000000000000000e+00,-1.352783325756234944e-01
-4.984984984984984990e+00,3.859289142434942782e-02
-4.969969969969969981e+00,3.470340273999144437e-02
-4.954954954954954971e+00,2.212957862428228395e-01
-4.939939939939939961e+00,-1.003966909937713398e-01
-4.924924924924924952e+00,1.313183498123166315e-01
-4.909909909909909942e+00,-1.568220405704481499e-02
-4.894894894894894932e+00,-1.124307439250559204e-01
-4.879879879879879923e+00,-6.424548987391573429e-02
-4.864864864864864913e+00,2.097510564207473102e-02
-4.849849849849849903e+00,-1.555046259348399559e-02
-4.834834834834834894e+00,-2.009867157018470074e-01
-4.819819819819819884e+00,3.029410645258945323e-02
-4.804804804804804874e+00,-1.559359455392344551e-01
-4.789789789789789864e+00,3.004716933865456130e-02
-4.774774774774774855e+00,1.451676047586104024e-01
-4.759759759759759845e+00,3.286346421003211865e-02
-4.744744744744744835e+00,9.334944244850916506e-02
-4.729729729729729826e+00,1.383408230083042201e-01
-4.714714714714714816e+00,-1.199507016539784615e-01
-4.699699699699699806e+00,5.003817547838156077e-02
-4.684684684684684797e+00,1.454969816676466021e-01
-4.669669669669669787e+00,-4.894086952289507242e-02
-4.654654654654654777e+00,1.015294584808500572e-01
-4.639639639639639768e+00,-1.273403305349223198e-02
-4.624624624624624758e+00,1.087207873774722056e-01
-4.609609609609609748e+00,-1.567557453087519426e-01
-4.594594594594594739e+00,-5.301314370637529028e-02
-4.579579579579579729e+00,-1.046146073404638083e-01
-4.564564564564564719e+00,1.156702273128956959e-01
-4.549549549549549710e+00,-4.920061297704305531e-02
-4.534534534534534700e+00,-1.303131013117123094e-01
-4.519519519519519690e+00,-1.626905918631660619e-01
-4.504504504504504681e+00,5.900992785863532972e-03
-4.489489489489489671e+00,-2.593308888988154690e-02
-4.474474474474474661e+00,-7.084671842248591034e-02
-4.459459459459459651e+00,1.205517807987105915e-02
-4.444444444444444642e+00,-6.838352191072525656e-03
-4.429429429429429632e+00,1.265796318258986808e-01
-4.414414414414414622e+00,1.374248392020161434e-02
-4.399399399399399613e+00,-3.767105523369213699e-02
-4.384384384384384603e+00,2.758626906890641606e-01
-4.369369369369369593e+00,-2.018588001140917687e-01
-4.354354354354354584e+00,1.034805319208008112e-01
-4.339339339339339574e+00,-1.268510865474887783e-01
-4.324324324324324564e+00,7.608579861208215889e-02
-4.309309309309309555e+00,1.144500274452908972e-01
-4.294294294294294545e+00,1.580487233188049012e-01
-4.279279279279279535e+00,-1.177396077219436676e-01
-4.264264264264264526e+00,8.307757234358340015e-02
-4.249249249249249516e+00,5.505102984406162747e-02
-4.234234234234234506e+00,-5.097388111202923872e-02
-4.219219219219219497e+00,-7.553471328147123853e-02
-4.204204204204204487e+00,-1.113706957191541204e-02
-4.189189189189189477e+00,-1.352649337575163868e-01
-4.174174174174174468e+00,5.971004996098858153e-02
-4.159159159159159458e+00,2.472602461411712305e-01
-4.144144144144144448e+00,8.971185832166433949e-02
-4.129129129129129439e+00,9.062282877559750787e-05
-4.114114114114114429e+00,3.059448503660410976e-02
-4.099099099099099419e+00,-4.947542453342321234e-02
-4.084084084084084409e+00,-2.234659289467704618e-02
-4.069069069069069400e+00,4.844517081791694518e-02
-4.054054054054054390e+00,-7.567551546428623321e-02
-4.039039039039039380e+00,1.111226179820587051e-01
-4.024024024024024371e+00,-1.172757169243435343e-01
-4.009009009009009361e+00,-1.111998179333791026e-02
-3.993993993993993907e+00,1.522442647888585798e-01
-3.978978978978978898e+00,-2.009768066686599686e-01
-3.963963963963963888e+00,-1.806481361365113586e-02
-3.948948948948948878e+00,1.253766140629137826e-01
-3.933933933933933869e+00,2.656501368981770833e-02
-3.918918918918918859e+00,1.674484426188697916e-01
-3.903903903903903849e+00,5.973320531006345163e-02
-3.888888888888888840e+00,-1.332973120316894855e-01
-3.873873873873873830e+00,1.282443684791603200e-01
-3.858858858858858820e+00,-3.007107586209899555e-02
-3.843843843843843811e+00,1.440882742359357940e-02
-3.828828828828828801e+00,4.184098391821874235e-02
-3.813813813813813791e+00,5.125212721983076619e-02
